
Abiotrophia defectiva
Acidaminococcus intestini
Acinetobacter johnsonii
Acinetobacter radioresistens
Actinomyces europaeus
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces turicensis
Adlercreutzia equolifaciens
Aerococcus christensenii
Aeromicrobium panaciterrae
Akkermansia muciniphila
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes inops
Alistipes massiliensis
Alistipes obesi
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Allisonella histaminiformans
Alloscardovia omnicolens
Anaerococcus hydrogenalis
Anaerococcus lactolyticus
Anaerococcus nagyae
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus senegalensis
Anaerococcus vaginalis
Anaeroglobus geminatus
Anaerostipes caccae
Anaerostipes hadrus
Anaerotruncus colihominis
Anaerotruncus rubiinfantis
Anoxybacillus flavithermus
Arcanobacterium urinimassiliense
Atopobium deltae
Atopobium minutum
Atopobium parvulum
Atopobium vaginae
Bacillus coagulans
Bacteroides acidifaciens
Bacteroides caccae
Bacteroides clarus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides eggerthii
Bacteroides faecichinchillae
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides intestinalis
Bacteroides massiliensis
Bacteroides nordii
Bacteroides ovatus
Bacteroides plebeius
Bacteroides rodentium
Bacteroides salyersiae
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides vulgatus
Barnesiella intestinihominis
Bifidobacterium angulatum
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium dentium
Bifidobacterium longum
Bilophila wadsworthia
Blautia faecis
Blautia hydrogenotrophica
Blautia luti
Blautia massiliensis
Blautia obeum
Blautia stercoris
Brevibacterium ravenspurgense
Butyricicoccus desmolans
Butyricimonas virosa
Butyrivibrio crossotus
Campylobacter hominis
Campylobacter ureolyticus
Capnocytophaga gingivalis
Catabacter hongkongensis
Catenibacterium mitsuokai
Christensenella minuta
Chryseobacterium hispanicum
Cloacibacillus evryensis
Cloacibacterium normanense
Clostridium_sensu_stricto_1 disporicum
Clostridium_sensu_stricto_1 paraputrificum
Collinsella aerofaciens
Collinsella bouchesdurhonensis
Collinsella tanakaei
Comamonas aquatica
Comamonas denitrificans
Coprobacillus cateniformis
Coprobacter fastidiosus
Coprobacter secundus
Coprococcus_1 catus
Coprococcus_2 eutactus
Coprococcus_3 comes
Corynebacterium argentoratense
Corynebacterium aurimucosum
Corynebacterium glucuronolyticum
Corynebacterium pyruviciproducens
Corynebacterium_1 coyleae
Corynebacterium_1 imitans
Corynebacterium_1 riegelii
Curvibacter gracilis
Cutibacterium avidum
Cutibacterium granulosum
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Dialister invisus
Dialister pneumosintes
Dialister propionicifaciens
Dialister succinatiphilus
Dielma fastidiosa
Dorea formicigenerans
Dorea longicatena
Eggerthella lenta
Eggerthella timonensis
Eisenbergiella massiliensis
Eisenbergiella tayi
Enhydrobacter aerosaccus
Enterobacter ludwigii
Erysipelatoclostridium ramosum
